Journal;Jour;Compte;Libelle;Debit;Credit
BP;03/02/2025;580CB;CB;;44,05
BP;03/02/2025;627;CB;0,15;
BP;03/02/2025;5121;CB;43,9;
BP;03/02/2025;580CB;CB;;103,64
BP;03/02/2025;627;CB;0,36;
BP;03/02/2025;5121;CB;103,28;
BP;03/02/2025;580CB;CB;;157,63
BP;03/02/2025;627;CB;0,55;
BP;03/02/2025;5121;CB;157,08;
BP;03/02/2025;580CB;CB;;294,61
BP;03/02/2025;627;CB;1,03;
BP;03/02/2025;5121;CB;293,58;
BP;04/02/2025;580;Versement especes;;890
BP;04/02/2025;5121;Versement especes;890;
BP;04/02/2025;4375;Prevoyance;1,08;
BP;04/02/2025;5121;Prevoyance;;1,08
BP;04/02/2025;4375;Prevoyance;36,18;
BP;04/02/2025;5121;Prevoyance;;36,18
BP;04/02/2025;421;Salaire Janvier;912,69;
BP;04/02/2025;5121;Salaire Janvier;;912,69
BP;05/02/2025;580CB;CB;;189,47
BP;05/02/2025;627;CB;0,66;
BP;05/02/2025;5121;CB;188,81;
BP;05/02/2025;401BUREAU;Bureau Vallée;30,31;
BP;05/02/2025;5121;Bureau Vallée;;30,31
BP;05/02/2025;6161;AXA;62,31;
BP;05/02/2025;5121;AXA;;62,31
BP;05/02/2025;644101;URSSAF ASF;93;
BP;05/02/2025;5121;URSSAF ASF;;93
BP;06/02/2025;580CB;CB;;102,46
BP;06/02/2025;627;CB;0,36;
BP;06/02/2025;5121;CB;102,1;
BP;06/02/2025;401SCOPEPICE;SCOP EPICE;555,16;
BP;06/02/2025;5121;SCOP EPICE;;555,16
BP;06/02/2025;401SCOPEPICE;SCOP EPICE;971,32;
BP;06/02/2025;5121;SCOP EPICE;;971,32
BP;07/02/2025;580CB;CB;;19,94
BP;07/02/2025;627;CB;0,07;
BP;07/02/2025;5121;CB;19,87;
BP;07/02/2025;580CB;CB;;71,49
BP;07/02/2025;627;CB;0,25;
BP;07/02/2025;5121;CB;71,24;
BP;07/02/2025;401HAXE DIRECT;HAXE DIRECT;18;
BP;07/02/2025;5121;HAXE DIRECT;;18
BP;07/02/2025;401HAXE DIRECT;HAXE DIRECT;18;
BP;07/02/2025;5121;HAXE DIRECT;;18
BP;07/02/2025;401RESTAURANT;Restaurant;44,3;
BP;07/02/2025;5121;Restaurant;;44,3
BP;07/02/2025;401ANKORSTORE;Ankorstore;2532;
BP;07/02/2025;5121;Ankorstore;;2532
BP;10/02/2025;580CB;CB;;41,96
BP;10/02/2025;627;CB;0,15;
BP;10/02/2025;5121;CB;41,81;
BP;10/02/2025;580CB;CB;;124,97
BP;10/02/2025;627;CB;0,44;
BP;10/02/2025;5121;CB;124,53;
BP;10/02/2025;580CB;CB;;173,21
BP;10/02/2025;627;CB;0,61;
BP;10/02/2025;5121;CB;172,6;
BP;10/02/2025;580CB;CB;;183,82
BP;10/02/2025;627;CB;0,64;
BP;10/02/2025;5121;CB;183,18;
BP;11/02/2025;401TIME;TIME METAC;14,85;
BP;11/02/2025;5121;TIME METAC;;14,85
BP;12/02/2025;580CB;CB;;150,11
BP;12/02/2025;627;CB;0,53;
BP;12/02/2025;5121;CB;149,58;
BP;13/02/2025;580CB;CB;;11,81
BP;13/02/2025;627;CB;0,04;
BP;13/02/2025;5121;CB;11,77;
BP;13/02/2025;580CB;CB;;34,57
BP;13/02/2025;627;CB;0,24;
BP;13/02/2025;5121;CB;34,33;
BP;14/02/2025;580CB;CB;;52,7
BP;14/02/2025;627;CB;0,18;
BP;14/02/2025;5121;CB;52,52;
BP;14/02/2025;580CB;CB;;115,07
BP;14/02/2025;627;CB;0,4;
BP;14/02/2025;5121;CB;114,67;
BP;17/02/2025;580CB;CB;;146,12
BP;17/02/2025;627;CB;0,51;
BP;17/02/2025;5121;CB;145,61;
BP;17/02/2025;580CB;CB;;162,88
BP;17/02/2025;627;CB;0,57;
BP;17/02/2025;5121;CB;162,31;
BP;17/02/2025;580CB;CB;;209,36
BP;17/02/2025;627;CB;0,73;
BP;17/02/2025;5121;CB;208,63;
BP;17/02/2025;580CB;CB;;218,35
BP;17/02/2025;627;CB;0,8;
BP;17/02/2025;5121;CB;217,55;
BP;17/02/2025;401AMAZON;AMAZON;9,19;
BP;17/02/2025;5121;AMAZON;;9,19
BP;17/02/2025;401LEROYMERLIN;LEROY MERLIN;71,87;
BP;17/02/2025;5121;LEROY MERLIN;;71,87
BP;18/02/2025;431;URSSAF;18;
BP;18/02/2025;5121;URSSAF;;18
