Journal;Jour;Compte;Libelle;Debit;Credit
BP;01/04/2025;401DIVERS;Prelevement;59,40;
BP;01/04/2025;5121;Prelevement;;59,40
BP;02/04/2025;580;CB;;67,64
BP;02/04/2025;627;CB;0,24;
BP;02/04/2025;5121;CB;67,40;
BP;02/04/2025;580;CB;;122,31
BP;02/04/2025;627;CB;1,08;
BP;02/04/2025;5121;CB;121,23;
BP;02/04/2025;401DIVERS;Virement;244,68;
BP;02/04/2025;5121;Virement;;244,68
BP;02/04/2025;401DIVERS;Virement;912,69;
BP;02/04/2025;5121;Virement;;912,69
BP;03/04/2025;580;CB;;66,41
BP;03/04/2025;627;CB;0,23;
BP;03/04/2025;5121;CB;66,18;
BP;03/04/2025;580;CB;;165,00
BP;03/04/2025;627;CB;0,58;
BP;03/04/2025;5121;CB;164,42;
BP;03/04/2025;401DIVERS;02/04 CARREFOUR CITY;4,16;
BP;03/04/2025;5121;02/04 CARREFOUR CITY;;4,16
BP;03/04/2025;401DIVERS;Virement;800,00;
BP;03/04/2025;5121;Virement;;800,00
BP;04/04/2025;401DIVERS;03/04 GIFI;41,46;
BP;04/04/2025;5121;03/04 GIFI;;41,46
BP;04/04/2025;401DIVERS;Virement;800,00;
BP;04/04/2025;5121;Virement;;800,00
BP;07/04/2025;580;CB;;33,53
BP;07/04/2025;627;CB;0,12;
BP;07/04/2025;5121;CB;33,41;
BP;07/04/2025;580;CB;;129,72
BP;07/04/2025;627;CB;0,45;
BP;07/04/2025;5121;CB;129,27;
BP;07/04/2025;580;CB;;135,32
BP;07/04/2025;627;CB;0,47;
BP;07/04/2025;5121;CB;134,85;
BP;07/04/2025;580;CB;;677,25
BP;07/04/2025;627;CB;2,50;
BP;07/04/2025;5121;CB;674,75;
BP;07/04/2025;401DIVERS;Prelevement;18,00;
BP;07/04/2025;5121;Prelevement;;18,00
BP;07/04/2025;401DIVERS;Prelevement;18,00;
BP;07/04/2025;5121;Prelevement;;18,00
BP;07/04/2025;401DIVERS;Prelevement;62,31;
BP;07/04/2025;5121;Prelevement;;62,31
BP;07/04/2025;401DIVERS;Prelevement;93,00;
BP;07/04/2025;5121;Prelevement;;93,00
BP;08/04/2025;401DIVERS;07/04 OLYS;34,95;
BP;08/04/2025;5121;07/04 OLYS;;34,95
BP;08/04/2025;401DIVERS;07/04 OLYS;1079,00;
BP;08/04/2025;5121;07/04 OLYS;;1079,00
BP;09/04/2025;580;CB;;109,89
BP;09/04/2025;627;CB;0,38;
BP;09/04/2025;5121;CB;109,51;
BP;09/04/2025;580;CB;;212,48
BP;09/04/2025;627;CB;0,74;
BP;09/04/2025;5121;CB;211,74;
BP;10/04/2025;580;CB;;89,22
BP;10/04/2025;627;CB;0,31;
BP;10/04/2025;5121;CB;88,91;
BP;10/04/2025;401DIVERS;Prelevement;14,85;
BP;10/04/2025;5121;Prelevement;;14,85
BP;10/04/2025;401DIVERS;09/04 RETIF 137MONTPEL;36,00;
BP;10/04/2025;5121;09/04 RETIF 137MONTPEL;;36,00
BP;10/04/2025;401DIVERS;Virement;121,54;
BP;10/04/2025;5121;Virement;;121,54
BP;10/04/2025;401DIVERS;Virement;493,80;
BP;10/04/2025;5121;Virement;;493,80
BP;10/04/2025;401DIVERS;Virement;846,87;
BP;10/04/2025;5121;Virement;;846,87
BP;11/04/2025;580;CB;;10,94
BP;11/04/2025;627;CB;0,04;
BP;11/04/2025;5121;CB;10,90;
BP;11/04/2025;580;CB;;151,12
BP;11/04/2025;627;CB;0,72;
BP;11/04/2025;5121;CB;150,40;
BP;14/04/2025;580;CB;;12,87
BP;14/04/2025;627;CB;0,05;
BP;14/04/2025;5121;CB;12,82;
BP;14/04/2025;580;CB;;118,48
BP;14/04/2025;627;CB;0,41;
BP;14/04/2025;5121;CB;118,07;
BP;14/04/2025;580;CB;;153,67
BP;14/04/2025;627;CB;0,54;
BP;14/04/2025;5121;CB;153,13;
BP;14/04/2025;580;CB;;242,43
BP;14/04/2025;627;CB;0,85;
BP;14/04/2025;5121;CB;241,58;
BP;14/04/2025;401DIVERS;Prelevement;210,00;
BP;14/04/2025;5121;Prelevement;;210,00
BP;14/04/2025;401EVOOTRADE;EVOOTRADE;759,66;
BP;14/04/2025;5121;EVOOTRADE;;759,66
BP;16/04/2025;580;CB;;82,78
BP;16/04/2025;627;CB;0,29;
BP;16/04/2025;5121;CB;82,49;
BP;16/04/2025;580;CB;;186,89
BP;16/04/2025;627;CB;0,79;
BP;16/04/2025;5121;CB;186,10;
BP;16/04/2025;401DIVERS;Prelevement;18,00;
BP;16/04/2025;5121;Prelevement;;18,00
BP;17/04/2025;580;CB;;16,96
BP;17/04/2025;627;CB;0,06;
BP;17/04/2025;5121;CB;16,90;
BP;17/04/2025;580;CB;;300,68
BP;17/04/2025;627;CB;1,32;
BP;17/04/2025;5121;CB;299,36;
BP;17/04/2025;580;Versement especes;;1 295,00
BP;17/04/2025;5121;Versement especes;1 295,00;
BP;18/04/2025;580;CB;;29,38
BP;18/04/2025;627;CB;0,10;
BP;18/04/2025;5121;CB;29,28;
BP;18/04/2025;580;CB;;61,58
BP;18/04/2025;627;CB;0,22;
BP;18/04/2025;5121;CB;61,36;
BP;18/04/2025;401DIVERS;17/04 LE ROYAL MONTPEL;39,80;
BP;18/04/2025;5121;17/04 LE ROYAL MONTPEL;;39,80
BP;18/04/2025;627;Cotisation Jazz Pro;43,27;
BP;18/04/2025;5121;Cotisation Jazz Pro;;43,27
BP;22/04/2025;580;CB;;71,06
BP;22/04/2025;627;CB;0,25;
BP;22/04/2025;5121;CB;70,81;
BP;22/04/2025;580;CB;;73,18
BP;22/04/2025;627;CB;0,26;
BP;22/04/2025;5121;CB;72,92;
BP;22/04/2025;580;CB;;165,70
BP;22/04/2025;627;CB;0,58;
BP;22/04/2025;5121;CB;165,12;
BP;22/04/2025;580;CB;;177,48
BP;22/04/2025;627;CB;0,62;
BP;22/04/2025;5121;CB;176,86;
BP;22/04/2025;401DIVERS;Virement;52,18;
BP;22/04/2025;5121;Virement;;52,18
BP;22/04/2025;401DIVERS;Prelevement;165,80;
BP;22/04/2025;5121;Prelevement;;165,80
BP;22/04/2025;401DIVERS;Virement;215,22;
BP;22/04/2025;5121;Virement;;215,22
