Journal;Jour;Compte;Libelle;Debit;Credit
CA;02/04/2025;530;Prlv caisse;;140,00
CA;02/04/2025;580;Prlv caisse;140,00;
CA;04/04/2025;530;Prlv caisse;;70,00
CA;04/04/2025;580;Prlv caisse;70,00;
CA;05/04/2025;530;Prlv caisse;;70,00
CA;05/04/2025;580;Prlv caisse;70,00;
CA;10/04/2025;530;Prlv caisse;;120,00
CA;10/04/2025;580;Prlv caisse;120,00;
CA;12/04/2025;530;Prlv caisse;;30,00
CA;12/04/2025;580;Prlv caisse;30,00;
CA;15/04/2025;530;Prlv caisse;;70,00
CA;15/04/2025;580;Prlv caisse;70,00;
CA;16/04/2025;530;Prlv caisse;;40,00
CA;16/04/2025;580;Prlv caisse;40,00;
CA;18/04/2025;530;Prlv caisse;;70,00
CA;18/04/2025;580;Prlv caisse;70,00;
CA;24/04/2025;530;Prlv caisse;;50,00
CA;24/04/2025;580;Prlv caisse;50,00;
CA;25/04/2025;530;Prlv caisse;;60,00
CA;25/04/2025;580;Prlv caisse;60,00;
CA;26/04/2025;530;Prlv caisse;;40,00
CA;26/04/2025;580;Prlv caisse;40,00;
CA;29/04/2025;530;Prlv caisse;;50,00
CA;29/04/2025;580;Prlv caisse;50,00;
CA;30/04/2025;530;Prlv caisse;;70,00
CA;30/04/2025;580;Prlv caisse;70,00;
